book_title|x|y
Forced Ascent (Demon Accords #7)|142021|227570
How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni #1)|244697|244193
The Hound of Rowan (The Tapestry #1)|242289|331112
Witchful Thinking (Underworld #3)|347654|316806
Martin's Big Words: The Life of Dr. Martin Luther King Jr.|232713|297837
Nailbiter, Vol. 3: Blood in the Water (Nailbiter #3)|179826|285580
Single White Vampire (Argeneau #3)|360461|303987
Ellie's Story (A Dog's Purpose Puppy Tales)|246120|318329
Ashes of Midnight (Midnight Breed #6)|360596|298632
The Midnight Lie (Forgotten Gods #1)|271637|306848
Fatal Flaw (Fatal #4)|380926|276534
Into the Dark (Atlantis #4.5)|355692|307522
Flight (The Crescent Chronicles #1)|310855|315043
The Murder of an Angel (Confessions #4)|283631|165518
Mates, Dates, and Inflatable Bras (Mates, Dates #1)|264268|341846
Never Forsaken (The Kurtherian Gambit #5)|326218|299531
Once Broken Faith (October Daye #10)|339397|316664
The Affair (Jack Reacher #16)|273033|157209
Ruthless Knight (Royal Hearts Academy #2)|382132|239182
The Enemy (The Enemy #1)|275934|330512
Confessions (Uncovering You #5)|395378|261572
Deadmen Walking (Deadman's Cross #1)|355128|304849
Beat to Quarters (Hornblower Saga: Chronological Order #6)|174050|207312
Gravitation, Volume 01 (Gravitation #1)|220789|376266
Unraveling You (Unraveling You #1)|396823|251366
The Secret Seven Adventure (The Secret Seven #2)|224493|264917
Broken Wings (Dark Legacy #1)|330989|290706
Lost and Found (Twist of Fate #1)|394325|200277
The Mirror Empire (Worldbreaker Saga #1)|155986|235069
Nexus (The Rosy Crucifixion #3)|215128|218390
"The Man Who Sold the Moon (Future History or ""Heinlein Timeline"" #5)"|150213|248003
Paranormalcy (Paranormalcy #1)|290261|330190
James Potter and the Curse of the Gatekeeper (James Potter #2)|238656|314681
Into the Deep (Into the Deep #1)|395353|250513
The Death of Vishnu (The Hindu Gods #1)|248878|216502
Trouble on Paradise (Expeditionary Force #3.5)|143787|223328
The Sleep Tight Motel (Dark Corners (Amazon Original Stories))|326237|200523
Hornblower During the Crisis (Hornblower Saga: Chronological Order #4)|173768|207374
No Longer a Gentleman (The Lost Lords #4)|401553|316963
Cowboy Take Me Away (Rough Riders #16)|381177|279565
The Big Nowhere (L.A. Quartet #2)|220388|215091
Miracleman, Book Three: Olympus (Miracleman #3)|179917|279228
Kick-Ass 2 Prelude: Hit-Girl (Kick-Ass: The Dave Lizewski Years #2)|179631|284308
Limitless (Out of the Box #1)|321006|291050
Batman/The Flash: The Button (Batman by Tom King)|175775|291266
A Morbid Taste for Bones (Chronicles of Brother Cadfael #1)|305280|159629
The Perdition Score (Sandman Slim #8)|150373|232375
The Power of One (The Power of One #1)|254251|209734
A Time of Exile (Deverry Cycle #5)|137030|249415
Things Not Seen (Things #1)|242915|315702
Changes (The Dresden Files #12)|143160|236422
Superman: Secret Origin (Superman by Geoff Johns #3.5)|175777|290844
Strobe Edge, Vol. 1 (Strobe Edge #1)|222814|375585
Moonlight Sins (de Vincent #1)|396371|240991
Kiss of the Highlander (Highlander #4)|365668|303486
The World of Jeeves (Jeeves #2-4)|216641|245414
For the Love of Mike (Molly Murphy #3)|307466|164446
